item	condition	noun	nounfreq 
1	a	करार	500
1	c	कपड़ा	187
2	a	नज़र	1066
2	c	चर्च	1084
3	a	रोक	863
3	c	मशीन	840
4	a	निर्णय	1846
4	c	कैलंडर	1831
5	a	ध्यान	3543
5	c	सामान	766
6	a	खयाल	144
6	c	गिटार	539
7	a	खरा	33
7	c	समूचा	33
8	a	चक्कर	265
8	c	दरवाजे	258
9	a	अनुमान	1673
9	c	उपकरण	1837
10	a	खिल्ली	20
10	c	पगड़ी	20
11	a	जोखिम	1335
11	c	टीवी	1346
12	a	ठुमके	1	
12	c	इश्तेहार	12
13	a	धज्जियाँ	1
13	c	कापी	13
14	a	चक्कर	265
14	c	दरवाजे	258
15	a	लुत्फ	36
15	c	तबला	36
16	a	झांसा	10
16	c	डबलरोटी	10

